Result Number,Widget,Data Source,Result Row,Source Page URL,Rawdate,Date parsed,Incident site,Jiv date raw,Jiv date parsed,Terrain,Cause,Est spill vol bbl,Cleanup status,Comments,Photo,Photo url,Jiv report,Jiv report url
251,shell_ng_spill_crawler,shell_ng_spill_crawler,251,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2011/february.html,9-Feb-11,1297209600000,20" KoloCreek-Rumuekpe Pipeline at Ogbogolo,12-Feb-11,1297468800000,Swamp / Land,Sabotage/ Theft,4387.3,Recovery of spilled volume completed on 27th June 2011. Cleanup of residual impacted area commenced on 15th September 2011 and was completed on 14th November 2011.,A second sabotage spill incident occurred at the site on 7th March 2011. The area is continually being impacted by crude oil theft activities. Authorities have deployed a security outpost to deter saboteurs. Pre cleanup assessment of the area completed on 27th June 2011. Delay in the commencement of clean up of impacted areas was due to contracting issues. Post cleanup inspection completed on 22nd November 2011.,http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/20_Kolocreek_Rumuekpe_Pipeline_at_Ogbogolo_jiv_pix_12_feb.pdf,<a href="http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/20_Kolocreek_Rumuekpe_Pipeline_at_Ogbogolo_jiv_pix_12_feb.pdf" target="_blank">PDF</a>,http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/20_KOCR-RUM_at_ogbogolo_12_Feb_2011_JIV.pdf,<a href="http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/20_KOCR-RUM_at_ogbogolo_12_Feb_2011_JIV.pdf" target="_blank">PDF</a>
252,shell_ng_spill_crawler,shell_ng_spill_crawler,252,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2011/february.html,10-Feb-11,1297296000000,28" Bomu-Bonny Pipeline at BodoWest,11-Feb-11,1297382400000,Swamp / Water,Sabotage/ Theft,100.2,Recovery of spilled volume commenced on 11th February 2011 and completed on 25th February 2011.,Site is continually being impacted by crude oil bunkering and illegal refinery activities. Discussions are on-going with the authorities to try to bring about a permanent solution leading to long term cleanup and remediation. Despite the occurrence of frequent re-impacting from other sources SPDC commenced pre-cleanup assessment of the area on 19th April and this was completed on 28th May 2011. Cleanup of the entire impacted area as assessed has been initiated on 20th December 2011. Work has started first at the Gio end of the assessed area which has the least potential for re-impact and will shortly cover other areas too. Work will proceed to further downstream areas for full coverage and minimum risk of re-impacting.,http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/28_bomu_bodo_jiv_pix_of_11_feb.pdf,<a href="http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/28_bomu_bodo_jiv_pix_of_11_feb.pdf" target="_blank">PDF</a>,http://s01.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/28_Bomu-Bonny_at_Bodo_feb_JIV.pdf,<a href="http://s01.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/28_Bomu-Bonny_at_Bodo_feb_JIV.pdf" target="_blank">PDF</a>
253,shell_ng_spill_crawler,shell_ng_spill_crawler,253,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2011/february.html,10-Feb-11,1297296000000,Imo River Well 37L Flowline at Igiriukwu Owaza,14-Feb-11,1297641600000,Land,Sabotage/ Theft,0.7,No recoverable oil was found on site. Spill impact observed as stains on vegetation at the location. Cleanup completed on 25th March 2011.,Post Cleanup Inspection completed on 13th April 2011.,http://s06.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/621008_Imo_River_Well_37L_at_Owaza_14-February_pix-2011.pdf,<a href="http://s06.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/621008_Imo_River_Well_37L_at_Owaza_14-February_pix-2011.pdf" target="_blank">PDF</a>,http://s07.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/Imo_river_37_L_feb_JIV_report.pdf,<a href="http://s07.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/Imo_river_37_L_feb_JIV_report.pdf" target="_blank">PDF</a>
254,shell_ng_spill_crawler,shell_ng_spill_crawler,254,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2011/february.html,15-Feb-11,1297728000000,8" Obigbo North Pipeline at Obigbo,16-Feb-11,1297814400000,Land,Sabotage/ Theft,0.8,No recoverable oil was found on site. Spill impact observed as stains on vegetation at the location. Cleanup completed on 23rd March 2011.,Post Cleanup Inspection completed on 12th April 2011.,http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/8_Inch_Obigbo-North_Pipeline_at_Obigbo_pix_16_February2011.pdf,<a href="http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/8_Inch_Obigbo-North_Pipeline_at_Obigbo_pix_16_February2011.pdf" target="_blank">PDF</a>,http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/8_obigbo_North_dl_at_Umuare_16_Feb_JIV.pdf,<a href="http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/8_obigbo_North_dl_at_Umuare_16_Feb_JIV.pdf" target="_blank">PDF</a>
255,shell_ng_spill_crawler,shell_ng_spill_crawler,255,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2011/february.html,23-Feb-11,1298419200000,18" Soku-Ekulama Pipeline at Kirikakiri,4-Mar-11,1299196800000,Swamp,Sabotage/ Theft,1.3,No recoverable oil was found on site. Cleanup completed on 6th March 2011.,JIV started 28th February 2011 but discontinued for safety reasons and completed on 4th March 2011. Post Cleanup Inspection was completed on 6th May 2011.,http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/625818_28_Inch_Soku_Ekulama_pipeline_at_Kirikakiri_23-February-2011_fotos.pdf,<a href="http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/625818_28_Inch_Soku_Ekulama_pipeline_at_Kirikakiri_23-February-2011_fotos.pdf" target="_blank">PDF</a>,http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/625818_28_Inch_Soku_Ekulama_pipeline_at_Kirikakiri_23-February-2011_JIV.pdf,<a href="http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/625818_28_Inch_Soku_Ekulama_pipeline_at_Kirikakiri_23-February-2011_JIV.pdf" target="_blank">PDF</a>
256,shell_ng_spill_crawler,shell_ng_spill_crawler,256,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2011/february.html,24-Feb-11,1298505600000,Kolo Creek 3T Flowline at Kolo Creek,1-Mar-11,1298937600000,Land,Sabotage/ Theft,0.16,Cleanup of residual impacted areas completed on 15th March 2011.,JIV started on 28th February 2011 but was discontinued due to Security issues and completed on 1st March 2011. Post Cleanup Inspection carried out on 29th March 2011.,http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/626342_Kolocreek_Well_3T_Flowline_at_Otosiga_%201-March-2011_%20fotos.pdf,<a href="http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/626342_Kolocreek_Well_3T_Flowline_at_Otosiga_ 1-March-2011_ fotos.pdf" target="_blank">PDF</a>,http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/626342_Kolocreek_Well_3T_Flowline_at_Otosiga_1-March-2011_JIV.pdf,<a href="http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/626342_Kolocreek_Well_3T_Flowline_at_Otosiga_1-March-2011_JIV.pdf" target="_blank">PDF</a>
257,shell_ng_spill_crawler,shell_ng_spill_crawler,257,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2011/february.html,25-Feb-11,1298592000000,28" Bomu-Bonny Pipeline at BodoWest,26-Feb-11,1298678400000,Swamp,Sabotage/ Theft,77,Recovery of spilled volume commenced on 26th February 2011 and was completed on 14th March 2011.,Site is continually being impacted by crude oil bunkering and illegal refinery activities. Discussions are on-going with the authorities to try to bring about a permanent solution leading to long term cleanup and remediation. Despite the occurrence of frequent re-impacting from other sources SPDC commenced pre-cleanup assessment of the area on 19th April and this was completed on 28th May 2011. Cleanup of the entire impacted area as assessed has been initiated on 20th December 2011. Work has started first at the Gio end of the assessed area which has the least potential for re-impact and will shortly cover other areas too. Work will proceed to further downstream areas for full coverage and minimum risk of re-impacting.,http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/28_inch_Bomu-Bonny_at_BodoWest_Pic.pdf,<a href="http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/28_inch_Bomu-Bonny_at_BodoWest_Pic.pdf" target="_blank">PDF</a>,http://s04.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/28_inch_Bomu-Bonny_at_Bodo_West_JIV_Report.pdf,<a href="http://s04.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/28_inch_Bomu-Bonny_at_Bodo_West_JIV_Report.pdf" target="_blank">PDF</a>
258,shell_ng_spill_crawler,shell_ng_spill_crawler,258,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/august.html,5-Aug-13,1375657200000,12'' Imo River - Ogale Pipeline at Umuedeokwara (Odagwa),6-Aug-13,1375743600000,Land,Sabotage / Theft,54,Recovery of spilled volume commenced on 6th August 2013 and was completed on 16th August 2013.,Cleanup of residual impacted area planned for completion in January 2014.,http://s07.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1020073-12in-imoriver2-ogale-pipeline-at-umuedeokwara-odagwa-photos.pdf,<a target="_blank" class="shell metrics_download" href="http://s07.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1020073-12in-imoriver2-ogale-pipeline-at-umuedeokwara-odagwa-photos.pdf">PDF</a>,http://s08.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1020073-12in-imoriver2-ogale-pipeline-at-umuedeokwara-odagwa-jiv.pdf,<a target="_blank" class="shell metrics_download" href="http://s08.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1020073-12in-imoriver2-ogale-pipeline-at-umuedeokwara-odagwa-jiv.pdf">PDF</a>
259,shell_ng_spill_crawler,shell_ng_spill_crawler,259,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/august.html,7-Aug-13,1375830000000,Cawthorne Channel Loop line Tie-in Manifold at Ilomaturu,15-Aug-13,1376521200000,Swamp,Sabotage / Theft,166,No recoverable oil was found on site.,Cleanup of residual impacted area planned for completion in January 2014.,http://s04.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1021225-24in-cawthornechannel1-loopline-manifold-at-ilomaturu-photos.pdf,<a target="_blank" class="shell metrics_download" href="http://s04.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1021225-24in-cawthornechannel1-loopline-manifold-at-ilomaturu-photos.pdf">PDF</a><br />,http://s04.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1021225-24in-cawthornechannel1-loopline-manifold-at-ilomaturu-jiv.pdf,<a target="_blank" class="shell metrics_download" href="http://s04.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1021225-24in-cawthornechannel1-loopline-manifold-at-ilomaturu-jiv.pdf">PDF</a><br />
260,shell_ng_spill_crawler,shell_ng_spill_crawler,260,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/august.html,7-Aug-13,1375830000000,Etelebou Wells 1 & 2 Wellheads at Ogboloma,12-Aug-13,1376262000000,Land,Operational,386,Recovery of spilled volume was completed on 11th September 2013.,There was no evidence of spill from any SPDC facility near the incident site. However the cause of spill was attributed to human error (and hence operational) because of alleged delay in reporting the incident. Cleanup of residual impacted area planned for completion in January 2014.,http://s06.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1021274-etelebou-well12-at-ogboloma-photos.pdf,<a target="_blank" class="shell metrics_download" href="http://s06.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1021274-etelebou-well12-at-ogboloma-photos.pdf">PDF</a>,http://s05.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1021274-etelebou-well12-at-ogboloma-jiv.pdf,<a target="_blank" class="shell metrics_download" href="http://s05.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1021274-etelebou-well12-at-ogboloma-jiv.pdf">PDF</a>
261,shell_ng_spill_crawler,shell_ng_spill_crawler,261,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/august.html,8-Aug-13,1375916400000,8" Isimiri - Imo Gate Delivery line at Obiakpu,9-Aug-13,1376002800000,Land,Sabotage / Theft,47,Recovery of spilled volume commenced on 9th August 2013 and was completed on 14th August 2013.,Cleanup of residual impacted area planned for completion in January 2014.,http://s04.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1021571-8in-isimiri-imoriver-pipeline-at-obiakpu-photos.pdf,<a target="_blank" class="shell metrics_download" href="http://s04.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1021571-8in-isimiri-imoriver-pipeline-at-obiakpu-photos.pdf">PDF</a>,http://s08.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1021571-8in-isimiri-imoriver-pipeline-at-obiakpu-jiv.pdf,<a target="_blank" class="shell metrics_download" href="http://s08.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1021571-8in-isimiri-imoriver-pipeline-at-obiakpu-jiv.pdf">PDF</a>
262,shell_ng_spill_crawler,shell_ng_spill_crawler,262,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/august.html,9-Aug-13,1376002800000,24" Nkpoku-Bomu Trans Niger Pipeline at Biara,10-Aug-13,1376089200000,Land,Sabotage / Theft,8,Recovery of spilled volume commenced on 10th August 2013 and was completed on 14th August 2013.,Site certification completed on 30th October 2013.,http://s01.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1022081-24in-npoku-bomu-transniger-pipeline-at-biara-photos.pdf,<a target="_blank" class="shell metrics_download" href="http://s01.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1022081-24in-npoku-bomu-transniger-pipeline-at-biara-photos.pdf">PDF</a>,http://s08.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1022081-24in-npoku-bomu-transniger-pipeline-at-biara-jiv.pdf,<a target="_blank" class="shell metrics_download" href="http://s08.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1022081-24in-npoku-bomu-transniger-pipeline-at-biara-jiv.pdf">PDF</a>
263,shell_ng_spill_crawler,shell_ng_spill_crawler,263,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/august.html,9-Aug-13,1376002800000,14" Okordia-Rumuekpe Pipeline at Ikarama,13-Aug-13,1376348400000,Land,Operational,3,No recoverable oil was found on site.,Cleanup of residual impacted area planned for completion in January 2014.,http://s01.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1022085-14in-okordia-rumuekpe-pipeline-at-ikarama-photos.pdf,<a href="http://s01.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1022085-14in-okordia-rumuekpe-pipeline-at-ikarama-photos.pdf" class="shell metrics_download" target="_blank">PDF</a>,http://s03.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1022085-14in-okordia-rumuekpe-pipeline-at-ikarama-jiv.pdf,<a href="http://s03.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1022085-14in-okordia-rumuekpe-pipeline-at-ikarama-jiv.pdf" class="shell metrics_download" target="_blank">PDF</a>
264,shell_ng_spill_crawler,shell_ng_spill_crawler,264,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/august.html,11-Aug-13,1376175600000,14" Okordia-Rumuekpe Pipeline at Akaramini,12-Aug-13,1376262000000,Land,Sabotage / Theft,9,Recovery of spilled volume was completed on 12th August 2013.,Cleanup of residual impacted area planned for completion in January 2014.,http://s06.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1022382-14in-okordia-rumuekpe-pipeline-at-akaramini-photos.pdf,<a href="http://s06.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1022382-14in-okordia-rumuekpe-pipeline-at-akaramini-photos.pdf" class="shell metrics_download" target="_blank">PDF</a>,http://s01.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1022382-14in-okordia-rumuekpe-pipeline-at-akaramini-jiv.pdf,<a href="http://s01.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1022382-14in-okordia-rumuekpe-pipeline-at-akaramini-jiv.pdf" class="shell metrics_download" target="_blank">PDF</a>
265,shell_ng_spill_crawler,shell_ng_spill_crawler,265,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/august.html,14-Aug-13,1376434800000,4" Adibawa North East Flowline at Biseni,28-Aug-13,1377644400000,Land,Sabotage / Theft,69,Recovery of spilled volume commenced on 14th August 2013 and was completed on 22nd September 2013.,Cleanup of residual impacted area planned for completion in January 2014.,http://s06.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1023885-4in-adibawanortheast-flowline-at-biseni-photos.pdf,<a href="http://s06.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1023885-4in-adibawanortheast-flowline-at-biseni-photos.pdf" class="shell metrics_download" target="_blank">PDF</a><br />,http://s04.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1023885-4in-adibawanortheast-flowline-at-biseni-jiv.pdf,<a href="http://s04.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1023885-4in-adibawanortheast-flowline-at-biseni-jiv.pdf" class="shell metrics_download" target="_blank">PDF</a><br />
266,shell_ng_spill_crawler,shell_ng_spill_crawler,266,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/august.html,14-Aug-13,1376434800000,Biseni Remote Manifold,28-Aug-13,1377644400000,Land,Operational,49,Recovery of spilled volume commenced on 14th August 2013 and was completed on 19th September 2013.,Cleanup of residual impacted area planned for completion in January 2014.,http://s04.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1023895-biseni-remotemanifold-at-biseni-photos.pdf,<a href="http://s04.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1023895-biseni-remotemanifold-at-biseni-photos.pdf" class="shell metrics_download" target="_blank">PDF</a><br />,http://s02.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1023895-biseni-remotemanifold-at-biseni-jiv.pdf,<a href="http://s02.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1023895-biseni-remotemanifold-at-biseni-jiv.pdf" class="shell metrics_download" target="_blank">PDF</a><br />
267,shell_ng_spill_crawler,shell_ng_spill_crawler,267,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/august.html,15-Aug-13,1376521200000,6" Cawthorne Channel Well 45T flowline at Mbiama,21-Aug-13,1377039600000,Swamp,Sabotage / Theft,11,Recovery of spilled volume was completed on 21st August 2013.,Cleanup of residual impacted area planned for completion in January 2014.,http://s05.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1024129-cawthornechannel-6in-well45t-flowline-at-mbiama-photos.pdf,<a target="_blank" class="shell metrics_download" href="http://s05.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1024129-cawthornechannel-6in-well45t-flowline-at-mbiama-photos.pdf">PDF</a><br />,http://s04.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1024129-cawthornechannel-6in-well45t-flowline-at-mbiama-jiv.pdf,<a target="_blank" class="shell metrics_download" href="http://s04.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1024129-cawthornechannel-6in-well45t-flowline-at-mbiama-jiv.pdf">PDF</a><br />
268,shell_ng_spill_crawler,shell_ng_spill_crawler,268,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/august.html,14-Aug-13,1376434800000,Awoba Well 3S Flowline at Bille,22-Aug-13,1377126000000,Swamp,Sabotage / Theft,2,No recoverable oil was found on site.,JIV was inconclusive on the first visit. 2nd visit was on 11th Sept 2013. Cleanup of residual impacted area planned for completion in January 2014.,http://s08.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1024199-awoba-well3s-flowline-at-bille-photos.pdf,<a href="http://s08.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1024199-awoba-well3s-flowline-at-bille-photos.pdf" class="shell metrics_download" target="_blank">PDF</a>,http://s02.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1024199-awoba-well3s-flowline-at-bille-jiv.pdf,<a href="http://s02.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1024199-awoba-well3s-flowline-at-bille-jiv.pdf" class="shell metrics_download" target="_blank">PDF</a>
269,shell_ng_spill_crawler,shell_ng_spill_crawler,269,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/august.html,19-Aug-13,1376866800000,16" Nun River - Kolo Creek Pipeline at Igeibiri,28-Aug-13,1377644400000,Swamp,Sabotage / Theft,82,Recovery of spilled volume commenced on 28th August 2013. A subsequent fire started by unknown persons consumed the remaining free phase oil.,Cleanup of residual impacted area planned for completion in January 2014.,http://s06.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1025553-16in-nunriver-kolocreek-pipeline-at-igeibiri-photos.pdf,<a href="http://s06.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1025553-16in-nunriver-kolocreek-pipeline-at-igeibiri-photos.pdf" class="shell metrics_download" target="_blank">PDF</a><br />,http://s06.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1025553-16in-nunriver-kolocreek-pipeline-at-igeibiri-jiv.pdf,<a href="http://s06.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1025553-16in-nunriver-kolocreek-pipeline-at-igeibiri-jiv.pdf" class="shell metrics_download" target="_blank">PDF</a><a href="http://s06.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1025553-16in-nunriver-kolocreek-pipeline-at-igeibiri-photos.pdf" class="shell metrics_download" target="_blank"><br /> </a>
270,shell_ng_spill_crawler,shell_ng_spill_crawler,270,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/august.html,19-Aug-13,1376866800000,24" Nkpoku - Bomu Pipeline at Bera,20-Aug-13,1376953200000,Land,Sabotage / Theft,9,Recovery of spilled volume was completed on 20th August 2013.,Cleanup of residual impacted area planned for completion in January 2014.,http://s06.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1025555-24inch-nkpoku-bomu-transniger-pipeline-at-bera-photos.pdf,<a href="http://s06.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1025555-24inch-nkpoku-bomu-transniger-pipeline-at-bera-photos.pdf" class="shell metrics_download" target="_blank">PDF</a>,http://s07.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1025555-24inch-nkpoku-bomu-transniger-pipeline-at-bera-jiv.pdf,<a href="http://s07.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1025555-24inch-nkpoku-bomu-transniger-pipeline-at-bera-jiv.pdf" class="shell metrics_download" target="_blank">PDF</a>
271,shell_ng_spill_crawler,shell_ng_spill_crawler,271,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/august.html,19-Aug-13,1376866800000,4" Cawthorne Channel Well 51T flowline at Mbiama,21-Aug-13,1377039600000,Land,Operational,1,No recoverable oil was found on site.,Cleanup of residual impacted area planned for completion in January 2014.,http://s08.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1026092-cawthornechannel-4in-well51t-flowline-at-mbiama-photos.pdf,<a target="_blank" class="shell metrics_download" href="http://s08.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1026092-cawthornechannel-4in-well51t-flowline-at-mbiama-photos.pdf">PDF</a><br />,http://s03.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1026092-cawthornechannel-4in-well51t-flowline-at-mbiama-jiv.pdf,<a target="_blank" class="shell metrics_download" href="http://s03.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1026092-cawthornechannel-4in-well51t-flowline-at-mbiama-jiv.pdf">PDF</a><br />
272,shell_ng_spill_crawler,shell_ng_spill_crawler,272,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/august.html,22-Aug-13,1377126000000,10" Ekulama-1 Delivery Line at Ekulama,27-Aug-13,1377558000000,Swamp,Operational,92,Recovery of spilled volume commenced on 25th October 2013 and was completed 1st November 2013.,Cleanup of residual impacted area planned for completion in March 2014.,http://s04.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1027412-10in-ekulama1-sanbarth-pipeline-at-ekulama-photos.pdf,<a href="http://s04.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1027412-10in-ekulama1-sanbarth-pipeline-at-ekulama-photos.pdf" class="shell metrics_download" target="_blank">PDF</a>,http://s03.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1027412-10in-ekulama1-sanbarth-pipeline-at-ekulama-jiv.pdf,<a href="http://s03.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1027412-10in-ekulama1-sanbarth-pipeline-at-ekulama-jiv.pdf" class="shell metrics_download" target="_blank">PDF</a>
273,shell_ng_spill_crawler,shell_ng_spill_crawler,273,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/august.html,22-Aug-13,1377126000000,24" Alakiri - Bonny Pipeline (disused GPHSL) at Ilomatoru,29-Aug-13,1377730800000,Swamp,Operational,41,No recoverable oil was found on site.,Cleanup of residual impacted area planned for completion in January 2014.,http://s08.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1028053-24in-alakiri-bonny-pipeline-at-ilomaturu-photos.pdf,<a href="http://s08.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1028053-24in-alakiri-bonny-pipeline-at-ilomaturu-photos.pdf" class="shell metrics_download" target="_blank">PDF</a><br />,http://s08.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1028053-24in-alakiri-bonny-pipeline-at-ilomaturu-jiv.pdf,<a href="http://s08.static-shell.com/content/dam/shell-new/local/country/nga/downloads/pdf/oil-spills/1028053-24in-alakiri-bonny-pipeline-at-ilomaturu-jiv.pdf" class="shell metrics_download" target="_blank">PDF</a><br />
